rel_path,path,seed,samples,dt_est,time_in_dt,real_mean,real_rmse,real_p95,real_max,real_final,dos_mean,dos_rmse,dos_p95,dos_max,fdi_mean,fdi_rmse,fdi_p95,fdi_max
sharpL\seed_572599815\log.csv,sharpL,seed_572599815,2400,0.05,75.55,0.4527914308778444,0.6868909807479331,1.6948338358752748,2.0908477046760865,1.951517482402299,4.503053458428644,5.2468830809661,7.062937562249366,7.188650892140923,1.841836988804401,1.9732267232719385,2.9109000819155693,3.0159543796286696
sharpL\seed_630452087\log.csv,sharpL,seed_630452087,2400,0.05,62.75,0.6027213455541715,0.8574354077437347,1.7869852216691178,2.261606115710493,2.261606115710493,3.409035227060156,4.147713350759562,6.988541883251056,7.882794516957263,2.1930961215250275,2.4421376344718935,3.392499045937868,3.5475426936738095
sharpL\seed_643307316\log.csv,sharpL,seed_643307316,2400,0.05,72.3,0.5264841352027452,0.7476718950477633,1.576223368169489,1.8144427850584928,1.4899852608383388,3.419880298075088,3.9239781355469643,6.247961430696148,6.5724815978677205,1.8266078032075113,2.1038371340747255,3.2862676275769718,3.4302058635801123
sharpL\seed_664648677\log.csv,sharpL,seed_664648677,2400,0.05,50.5,0.2654366445164345,0.36129519701139184,0.8466681004983522,1.1934623781682407,0.2599701666794561,2.2789580402011826,2.669218480074706,4.716172176810161,4.716239360940335,0.5139127114922836,0.5836170958587343,0.8451482525065955,0.9585300442656229
sharpL\seed_667181712\log.csv,sharpL,seed_667181712,2400,0.05,63.050000000000004,0.7397103209737562,1.076479081613212,2.2606961204674088,2.545797674373026,1.8293049053759676,4.2853659557089285,5.008562459456505,7.649856465681083,8.490771472648433,2.1647121654863772,2.299074443407627,2.9506965235097473,3.2033198104181437
sharpL\seed_6898620\log.csv,sharpL,seed_6898620,2400,0.05,64.0,0.4432767130087915,0.6047956354350007,1.245229056729975,1.427400263562874,0.4011230708179928,3.341801980850217,3.7877654100733986,5.776604333449818,6.398620178014941,2.5487225579208914,2.9014497929377003,4.022633617725729,4.455575623653412
sharpL\seed_695401319\log.csv,sharpL,seed_695401319,2400,0.05,66.8,0.47578965040897003,0.6351984355462221,1.278143724991268,1.4159916667705623,1.2332519412230385,3.139099430263371,3.7559356314568015,6.9429709267308874,7.743732174429313,1.9789756847058197,2.126029227280567,2.9941242880548407,3.1739922675428156
sharpL\seed_707436356\log.csv,sharpL,seed_707436356,2400,0.05,82.35000000000001,0.4749976133695183,0.6589879535386485,1.385952685163874,1.701132755722495,1.0039717496792901,4.539263345034265,5.201977620348935,7.760561679940429,7.86815542087437,3.123625912995846,3.5427243084925917,4.846578396185718,5.28452583583683
sharpL\seed_754535109\log.csv,sharpL,seed_754535109,2400,0.05,54.900000000000006,0.34719636444167484,0.4671555806957924,1.0182023632801034,1.3685073110155275,0.2601138272361083,3.151232509168953,3.7151460980268087,6.367846878571723,6.3738754962989175,1.6644039787981724,1.8143337403805315,2.6377844231597103,2.717415173968962
sharpL\seed_79403921\log.csv,sharpL,seed_79403921,2400,0.05,44.650000000000006,0.3186074061504283,0.4316821598167284,0.9745931883917544,1.2187496290942312,0.2900084506260291,2.102692472283671,2.4695802293571583,4.001579610508652,4.562442863421492,0.41109599697638755,0.5197118762822606,1.1461803023880888,1.3237958430731105
