path,seed,s_final,err_real_mean,err_dos_mean,err_fdi_mean,time_in_dt_ratio,tube_violations,dos_windows,fdi_windows
circle,100724153,0.999,0.2521077184780364,2.482518457001814,0.6431501754333484,0.59,0,6,5
circle,314846776,0.999,0.24995086305483435,2.4713495462885295,0.26005307068602124,0.5029166666666667,0,6,5
circle,260246246,0.999,0.2319787588009152,3.096885285752638,0.499465597524501,0.5441666666666667,0,6,5
circle,2938532,0.999,0.22423750399797002,2.150816440318049,0.30953238074583506,0.44208333333333333,0,5,3
circle,293659434,0.999,0.2589316011637178,2.8531868533641123,0.4779338069142561,0.5995833333333334,0,5,6
circle,920166031,0.999,0.2885584660418084,2.331459136237814,0.5887805385852838,0.5979166666666667,0,6,6
circle,222645038,0.999,0.35224413572602364,1.7640557507449035,0.3193222806159573,0.595,0,6,5
freehand_20250908_111208_01,248801828,0.5777554326873543,0.04837072999545541,0.4951104391893198,1.0698129565501917,0.48125,40,4,4
freehand_20250908_111208_01,447667141,0.617157512934693,0.06798615275940359,1.4626901707749504,2.5243787072568904,0.5145833333333333,8,3,6
freehand_20250908_111208_01,121511994,0.7115120713913545,0.05424915531662618,0.8341486526284273,1.1573730564988054,0.44,37,4,4
freehand_20250908_111208_01,37315213,0.7151916510247361,0.052751351105649116,0.5996796388783885,1.0982892646625693,0.5083333333333333,46,5,4
freehand_20250908_111208_01,896086139,0.7114622041938448,0.05083685972435315,1.843229176104312,1.8417803481480943,0.4775,0,4,5
freehand_20250908_111208_01,376472929,0.7463677154585342,0.046199391393236554,1.463769365373754,1.163363004061801,0.5241666666666667,0,5,3
freehand_20250908_111208_01,801993682,0.5705059238876554,0.08184201685575437,1.2226940535770172,2.499364586653393,0.6020833333333333,82,5,6
freehand_20250908_111208_01,653006248,0.5557616457739614,0.05286705745569364,0.8956269391579038,1.5145780829203765,0.5054166666666666,39,5,4
freehand_20250908_111208_01,370873248,0.7740560384280568,0.049327393694218416,0.700620833078723,1.0750152801893786,0.4845833333333333,33,5,3
freehand_20250908_111208_01,119112621,0.7414893902517549,0.0628336561518218,2.1374892508231818,1.2951212269429886,0.6408333333333334,63,6,4
freehand_20250908_111208_01,342550829,0.7381008258613697,0.05560981242278167,1.5798973151274753,1.710969910817433,0.5891666666666666,54,4,6
freehand_20250908_111208_01,583365910,0.9238969787012687,0.04550542406547958,2.4213735045539795,1.60724767342689,0.6020833333333333,6,6,5
freehand_20250908_111208_01,644222730,0.7116290391453126,0.04684897905139515,1.4386529341446923,1.780255068888858,0.51125,0,4,6
freehand_20250908_111208_01,661228614,0.7558482880395522,0.05354068444222612,1.3768437654840815,0.7956214696419214,0.43416666666666665,4,6,2
freehand_20250908_111208_01,787504369,0.6457252381533654,0.05573610888818891,0.7207994011879633,1.7096041639153654,0.40166666666666667,31,4,4
freehand_20250908_111208_01,44947817,0.6998833560597629,0.047360015297392005,0.6813400644520096,1.8789535313408343,0.5283333333333333,30,5,5
freehand_20250908_111208_01,585285330,0.7183059150545279,0.04823451640484012,1.3524418736397479,0.8337689117645221,0.48875,7,6,3
freehand_20250908_111208_01,720842913,0.7261104153174059,0.05538410995043809,0.7712043085675729,1.686694034994178,0.4220833333333333,0,4,5
freehand_20250908_111208_01,977887268,0.7625291277935323,0.03872764413136261,0.6736622059564109,1.7671899688362172,0.46958333333333335,0,4,5
freehand_20250908_111208_01,587495265,0.7297973804788142,0.046184705086480884,1.1890965586947375,1.3773851993991248,0.38916666666666666,5,4,4
freehand_20250908_111208_01,324692741,0.7731375757209176,0.06681745005497353,1.5779181075665016,2.2911505072293736,0.6391666666666667,131,6,6
freehand_20250908_111208_01,684705237,0.8348528568382451,0.06394567797358101,3.191280798970701,2.410863008289131,0.69375,40,5,7
freehand_20250908_111208_01,73094989,0.6765579135211774,0.04766831031979533,1.40194437221486,1.6425924365779978,0.5379166666666667,21,5,4
freehand_20250908_111208_01,222096811,0.8078092002523252,0.05390488110454071,2.638913806652538,1.413617685432034,0.53375,10,5,5
